"problem","solution","typification","business_unit"
"Cliente deseja entender o que é e como funciona a antecipação de vendas.","No PagBank o vendedor consegue antecipar os valores que ainda irá receber, tanto do Pags como de outras maquininhas (multiadquirência). A antecipação de vendas é um recurso que o PagBank oferece para alguns clientes anteciparem as suas vendas realizadas no crédito à vista ou parceladas antes do prazo padrão escolhido em seu plano de recebimento.

Exemplo: um cliente transacionou uma venda na Web e o seu plano de recebimento é de 30 dias. Ele teve um imprevisto ou precisa de um fôlego financeiro; então, caso seja elegível, pode antecipar esta venda antes do prazo de 30 dias.

A antecipação de venda é liberada de forma esporádica de acordo com análises e critérios internos do PagBank. As análises acontecem diariamente; ou seja, caso o cliente não consiga antecipar em determinado dia, ele pode tentar novamente no dia seguinte.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação de Vendas
Submotivo: Cliente orientado sobre a Antecipação de Vendas
Conclusão: Orientação","Adquirência Web"
"Cliente deseja saber quais são os critérios para se tornar elegível à antecipação de vendas nas máquinas do PagBank.","Todas as contas passam por análises diárias que definem quais clientes recebem a oferta de antecipação e qual percentual de suas vendas pode ser antecipado. Isso significa que a opção de antecipar pode aparecer ou desaparecer conforme essas análises internas.

**Disponibilidade da oferta:**
- A opção de antecipação é liberada apenas para alguns clientes, de acordo com critérios internos do PagBank;
- As análises diárias determinam quais contas podem antecipar e qual o percentual disponível para antecipação.

**Regras para conseguir antecipar:**
- Não possuir **comprometimento** de agenda (se o cliente já comprometeu recebimentos futuros, não poderá antecipar novas vendas);
- É permitida apenas **1 antecipação por dia**;
- **Transações em débito, boleto e vendas realizadas no dia atual não estão disponíveis para antecipação**;
- Se o cliente tiver mais de um vencimento na agenda, apenas a parcela dentro do percentual aprovado por risco poderá ser antecipada (ou seja, nem todas as parcelas podem estar disponíveis, somente uma parte conforme análise de risco).

Esses critérios explicam por que nem todos os clientes ou vendas terão a opção de antecipar disponíveis em todos os momentos.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação de Vendas
Submotivo: Cliente orientado sobre a Antecipação de Vendas
Conclusão: Orientação","Adquirência Web"
"Cliente deseja saber como funciona a antecipação de vendas nas máquinas do PagBank.","Somente vendas no crédito (realizadas nas maquininhas PagBank) podem ser antecipadas, e elas ficam disponíveis para antecipação apenas no próximo dia útil após a venda. Pontos importantes sobre o funcionamento:
- A habilitação da antecipação não pode ser feita manualmente pelo cliente; é o sistema do PagBank que libera a opção quando elegível;
- Ao solicitar a antecipação, o valor antecipado leva até 1 hora para ficar disponível na conta PagBank do cliente;
- Não é possível cancelar uma antecipação após sua realização;
- É permitido realizar apenas **uma antecipação por dia**;
- Não há um valor mínimo ou máximo imposto para antecipar – o cliente poderá antecipar até o limite que for aprovado na análise de crédito diária (o saldo disponível para antecipação é conforme essa análise).

Além disso, se o cliente solicitar saque do valor antecipado para uma conta de outro banco, o prazo de recebimento é de até 2 horas para solicitações feitas até 15h. Após esse horário, a liberação acontece no dia seguinte. Para receber o valor antecipado no mesmo dia, a solicitação deve ser feita antes das 14h; solicitações após esse horário serão creditadas no próximo dia útil. A opção de realizar antecipações via aplicativo fica disponível das 8h30 às 19h, de segunda a sexta-feira (exceto feriados).","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação Agendada
Submotivo: Cliente orientado sobre Antecipação Agendada
Conclusão: Orientação","Adquirência Web"
"Cliente deseja saber como antecipar as vendas pela máquina.","Se o vendedor for elegível, ele poderá solicitar a antecipação de vendas diretamente pela sua máquina PagBank, seguindo os passos:
1. No menu inicial da maquininha, clique em **Meu Negócio** e, em seguida, em **Antecipação de Recebíveis**;
2. Selecione o valor desejado para antecipar (dentre o saldo disponível para antecipação);
3. Confira as condições e taxa de antecipação apresentadas e clique em **Continuar**;
4. Verifique se o destino (conta PagBank) e o valor estão corretos e confirme em **Confirmar**;
5. Aguarde a confirmação na tela: aparecerá a mensagem de que a **Antecipação foi realizada com sucesso**.

Pronto! O valor antecipado será disponibilizado na conta PagBank dentro de aproximadamente 1 hora.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Cliente deseja fazer a Antecipação de Vendas
Submotivo: Cliente orientado a fazer o processo via máquina
Conclusão: Orientação","Adquirência Web"
"Cliente deseja saber o que é e como funciona a antecipação agendada.","A **Antecipação Agendada do PagBank** é uma funcionalidade que permite que o vendedor escolha um dia específico da semana ou do mês para, de forma automática, antecipar todas as vendas realizadas no crédito acumuladas até aquele dia. Alguns detalhes:
- O agendamento da antecipação de vendas está sujeito à análise de crédito e à existência de saldo disponível para recebimento na data escolhida;
- O serviço de antecipação agendada está disponível a qualquer momento (24h, todos os dias), via aplicativo ou site;
- O recebimento da primeira antecipação agendada ocorre no próximo dia programado. Se a data cair em um fim de semana ou feriado, o valor é creditado no dia útil anterior;
- Em cada agendamento programado, serão antecipadas todas as vendas no crédito disponíveis até a data agendada (não incluem as vendas do próprio dia do agendamento, apenas até o dia anterior). Exemplo: Maria agendou recebimentos toda segunda-feira; assim, toda segunda o PagBank antecipa o saldo acumulado das vendas até o domingo anterior.

Trata-se de uma forma prática de o cliente manter um fluxo de caixa recorrente, recebendo antecipadamente em intervalos regulares.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação Agendada
Submotivo: Cliente orientado sobre Antecipação Agendada
Conclusão: Orientação","Adquirência Web"
"Cliente deseja saber como funciona o agendamento da antecipação de vendas nas máquinas do PagBank.","A **antecipação agendada nas máquinas PagBank** funciona de maneira similar à antecipação agendada via app/site, com as seguintes características:
- O agendamento está sujeito à análise de crédito e saldo disponível na data escolhida;
- Pode ser configurado para ocorrer diariamente, semanalmente ou mensalmente, conforme disponibilizado;
- Se a data agendada cair em fim de semana ou feriado, o PagBank antecipa o pagamento para o dia útil anterior;
- Cada agendamento programado vai antecipar todas as vendas no crédito disponíveis até aquela data (não incluindo as vendas realizadas no próprio dia da antecipação).

Exemplo: se o cliente agendou antecipação semanal para sexta-feira, toda sexta o PagBank antecipa o valor total disponível até quinta-feira.

Essa funcionalidade permite um planejamento automático das antecipações, facilitando o fluxo de caixa do cliente.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação Agendada
Submotivo: Cliente orientado sobre Antecipação Agendada
Conclusão: Orientação","Adquirência Web"
"Cliente deseja ativar a antecipação programada das vendas de outras adquirentes/máquinas.","Após o cliente realizar a antecipação esporádica ou avulsa, surge na tela a opção de ativar a antecipação programada. Ao optar por esse modelo, todas as vendas do cliente serão antecipadas uma vez ao dia. Para ativar, selecione os adquirentes desejados e clique em **Ativar agendamento**.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Cliente deseja fazer a Antecipação de Vendas
Submotivo: Cliente orientado a fazer o processo via app - vendas de outras adquirentes/máquinas
Conclusão: Orientação","Adquirência Web"
"Cliente deseja obter informações sobre o que é e quais clientes são elegíveis a antecipação de vendas de outras adquirentes/máquinas.","A antecipação de vendas de outras máquinas permite que o vendedor antecipe suas vendas de outras adquirentes/maquininhas com o PagBank, além das vendas já realizadas no próprio PagBank.

**Critérios de elegibilidade:**
- Disponível apenas para clientes PJ ativos na adquirência PagBank;
- Se o cliente comprometer seus recebimentos, não será possível antecipar as vendas;
- Somente as vendas nas bandeiras Mastercard (MCC), Visa (VCC) e Elo (ECC) estão disponíveis para a antecipação;
- No momento é possível realizar a antecipação das adquirentes: Cielo, Rede, SafraPay, Stone e Getnet.
- Mercado Pago está em análise.

Caso um cliente manifeste interesse em antecipar vendas de outras adquirentes/máquinas com o PagBank, oriente-o a fazer pelo aplicativo ou site.

Se o cliente perguntar sobre o recurso para PF (Pessoa Física), informe que ainda não está disponível, mas que o PagBank está avaliando a possibilidade.

Para mais orientações, siga o fluxo no fim da página.","Unidade de negócio: Adquirência Web / Adquirência Presencial
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação
Submotivo: Esclarecimentos sobre a Antecipação de vendas de outras adquirentes/máquinas
Conclusão: Orientação","Adquirência Web / Adquirência Presencial"
"Cliente deseja saber como funciona a antecipação de vendas de outras adquirentes/máquinas.","Saiba como funciona a antecipação de vendas de outras adquirentes/máquinas:

- Apenas vendas no crédito podem be antecipadas e ficam disponíveis para antecipação somente no próximo dia útil;
- Quando uma venda é antecipada, o plano de recebimento do cliente pode ser alterado na outra adquirente e o seu valor pode ficar comprometido;
- A habilitação de antecipação não pode ser feita manualmente;
- O valor leva até 2 horas para ficar disponível na conta PagBank;
- Não é possível cancelar uma antecipação;
- É permitido realizar apenas uma antecipação por dia;
- Não há limite de valor mínimo ou máximo para antecipar. O saldo disponível que o cliente possui para antecipar é conforme o valor aprovado na sua análise de crédito;
- Para que o cliente receba o valor antecipado no mesmo dia, a solicitação deve ser feita antes das 11h30. Após este horário, o cliente receberá no próximo dia útil;
- O horário para contratação da antecipação é das 8h30 às 16h em dias úteis;
- Nesse modelo de antecipação, o cliente pode antecipar toda a sua agenda de outras maquininhas/adquirentes diariamente, mediante análise de risco. Porém, pode acontecer de apenas um percentual das vendas estar disponível para antecipação, ficando o saldo restante para a adquirente efetuar a liquidação conforme suas próprias regras.

Em resumo, a antecipação de vendas de outras adquirentes funciona de forma parecida com a do PagBank, mas o cliente deve estar ciente de que a outra adquirente pode ajustar o plano de recebimento e que existe um horário específico para solicitar a antecipação no mesmo dia.","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação
Submotivo: Esclarecimentos sobre a Antecipação de vendas de outras adquirentes/máquinas
Conclusão: Orientação","Adquirência Web"
"Cliente deseja obter informações sobre comprometimento dos valores a receber após antecipação de vendas de outra adquirente/máquina.","Devido às regras de negócio de outras instituições, ao antecipar vendas com outra adquirente, o saldo restante do cliente pode ser **bloqueado ou comprometido** nessa outra instituição. Isso ocorre porque, quando o PagBank antecipa os valores, ele informa a outra adquirente para ajustar o cronograma de pagamento. A outra adquirente, então, marca aquele valor como comprometido (pois já foi adiantado via PagBank).

**O que é FIDC ou Oliveira Trust?**
No processo de antecipação de outras adquirentes, a razão social responsável que aparece é um fundo de investimento: **FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - PAGBANK MULTIADQUIRENCIA - RESPONSABILIDADE LIMITADA (FIDC)**, vinculado à empresa **OLIVEIRATRUST** (parceira do PagBank). Essa informação pode aparecer no extrato da adquirente original.

Caso o cliente questione sobre esse comprometimento de valores, informe que esse procedimento é comum entre instituições financeiras: o cliente antecipou as vendas com outra adquirente via PagBank, então o PagBank solicita o comprometimento (reserva) do valor antecipado junto à outra adquirente. Assim que o repasse do valor for realizado ao PagBank (ou seja, quando a adquirente pagaria originalmente), o comprometimento é cancelado automaticamente.

Em resumo, o cliente não perde dinheiro — é apenas uma garantia de que o valor não seja pago duas vezes (uma vez antecipado e outra na liquidação original).","Unidade de negócio: Adquirência Web
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação
Submotivo: Esclarecimentos sobre a Antecipação de vendas de outras adquirentes/máquinas
Conclusão: Orientação","Adquirência Web"
