conteudo,area,tipo_produto,tipo_informacao,nivel_complexidade,publico_alvo,palavras_chave,atualizado_em
"Cliente deseja entender o que é e como funciona a antecipação de vendas. No PagBank o vendedor consegue antecipar os valores que ainda irá receber, tanto do Pags como de outras maquininhas (multiadquirência). A antecipação de vendas é um recurso que o PagBank oferece para alguns clientes anteciparem as suas vendas realizadas no crédito à vista ou parceladas antes do prazo padrão escolhido em seu plano de recebimento. Exemplo: um cliente transacionou uma venda na Web e o seu plano de recebimento é de 30 dias. Ele teve um imprevisto ou precisa de um fôlego financeiro; então, caso seja elegível, pode antecipar esta venda antes do prazo de 30 dias. A antecipação de venda é liberada de forma esporádica de acordo com análises e critérios internos do PagBank. As análises acontecem diariamente; ou seja, caso o cliente não consiga antecipar em determinado dia, ele pode tentar novamente no dia seguinte.",credito,antecipacao_vendas,beneficios,intermediario,pessoa_juridica,"antecipacao vendas pagbank valores receber multiadquirencia credito vista parceladas prazo recebimento analises criterios internos diariamente",2024-01
"Cliente deseja saber quais são os critérios para se tornar elegível à antecipação de vendas nas máquinas do PagBank. Todas as contas passam por análises diárias que definem quais clientes recebem a oferta de antecipação e qual percentual de suas vendas pode ser antecipado. Isso significa que a opção de antecipar pode aparecer ou desaparecer conforme essas análises internas. A opção de antecipação é liberada apenas para alguns clientes, de acordo com critérios internos do PagBank. As análises diárias determinam quais contas podem antecipar e qual o percentual disponível para antecipação. Regras: não possuir comprometimento de agenda, é permitida apenas 1 antecipação por dia, transações em débito, boleto e vendas realizadas no dia atual não estão disponíveis para antecipação. Se o cliente tiver mais de um vencimento na agenda, apenas a parcela dentro do percentual aprovado por risco poderá ser antecipada.",credito,antecipacao_vendas,requisitos,intermediario,pessoa_juridica,"criterios elegibilidade antecipacao vendas analises diarias percentual comprometimento agenda debito boleto risco",2024-01
"Cliente deseja saber como funciona a antecipação de vendas nas máquinas do PagBank. Somente vendas no crédito (realizadas nas maquininhas PagBank) podem ser antecipadas, e elas ficam disponíveis para antecipação apenas no próximo dia útil após a venda. A habilitação da antecipação não pode ser feita manualmente pelo cliente; é o sistema do PagBank que libera a opção quando elegível. Ao solicitar a antecipação, o valor antecipado leva até 1 hora para ficar disponível na conta PagBank do cliente. Não é possível cancelar uma antecipação após sua realização. É permitido realizar apenas uma antecipação por dia. Não há um valor mínimo ou máximo imposto para antecipar – o cliente poderá antecipar até o limite que for aprovado na análise de crédito diária. Se o cliente solicitar saque do valor antecipado para uma conta de outro banco, o prazo de recebimento é de até 2 horas para solicitações feitas até 15h. Após esse horário, a liberação acontece no dia seguinte. Para receber o valor antecipado no mesmo dia, a solicitação deve ser feita antes das 14h. A opção de realizar antecipações via aplicativo fica disponível das 8h30 às 19h, de segunda a sexta-feira.",credito,antecipacao_vendas,como_solicitar,avancado,pessoa_juridica,"antecipacao vendas credito maquininhas proxima dia util habilitacao manual sistema valor hora conta cancelar limite minimo maximo analise credito saque banco horario aplicativo",2024-01
"Cliente deseja saber como antecipar as vendas pela máquina. Se o vendedor for elegível, ele poderá solicitar a antecipação de vendas diretamente pela sua máquina PagBank: no menu inicial da maquininha, clique em Meu Negócio e, em seguida, em Antecipação de Recebíveis; selecione o valor desejado para antecipar (dentre o saldo disponível para antecipação); confira as condições e taxa de antecipação apresentadas e clique em Continuar; verifique se o destino (conta PagBank) e o valor estão corretos e confirme em Confirmar; aguarde a confirmação na tela: aparecerá a mensagem de que a Antecipação foi realizada com sucesso. O valor antecipado será disponibilizado na conta PagBank dentro de aproximadamente 1 hora.",credito,antecipacao_vendas,como_solicitar,basico,pessoa_juridica,"antecipar vendas maquina eleigivel solicitar maquininha menu meu negocio recebiveis valor saldo condicoes taxa destino confirmar sucesso",2024-01
"Cliente deseja saber o que é e como funciona a antecipação agendada. A Antecipação Agendada do PagBank é uma funcionalidade que permite que o vendedor escolha um dia específico da semana ou do mês para, de forma automática, antecipar todas as vendas realizadas no crédito acumuladas até aquele dia. O agendamento da antecipação de vendas está sujeito à análise de crédito e à existência de saldo disponível para recebimento na data escolhida. O serviço de antecipação agendada está disponível a qualquer momento (24h, todos os dias), via aplicativo ou site. O recebimento da primeira antecipação agendada ocorre no próximo dia programado. Se a data cair em um fim de semana ou feriado, o valor é creditado no dia útil anterior. Em cada agendamento programado, serão antecipadas todas as vendas no crédito disponíveis até a data agendada (não incluem as vendas do próprio dia do agendamento, apenas até o dia anterior). Trata-se de uma forma prática de o cliente manter um fluxo de caixa recorrente, recebendo antecipadamente em intervalos regulares.",credito,antecipacao_vendas,beneficios,intermediario,pessoa_juridica,"antecipacao agendada funcionalidade vendedor dia especifico semana mes automatica credito acumuladas analise saldo disponivel aplicativo site fim semana feriado fluxo caixa recorrente",2024-01
"Cliente deseja saber como funciona o agendamento da antecipação de vendas nas máquinas do PagBank. A antecipação agendada nas máquinas PagBank funciona de maneira similar à antecipação agendada via app/site: o agendamento está sujeito à análise de crédito e saldo disponível na data escolhida; pode ser configurado para ocorrer diariamente, semanalmente ou mensalmente, conforme disponibilizado; se a data agendada cair em fim de semana ou feriado, o PagBank antecipa o pagamento para o dia útil anterior; cada agendamento programado vai antecipar todas as vendas no crédito disponíveis até aquela data (não incluindo as vendas realizadas no próprio dia da antecipação). Exemplo: se o cliente agendou antecipação semanal para sexta-feira, toda sexta o PagBank antecipa o valor total disponível até quinta-feira. Essa funcionalidade permite um planejamento automático das antecipações, facilitando o fluxo de caixa do cliente.",credito,antecipacao_vendas,como_solicitar,intermediario,pessoa_juridica,"agendamento antecipacao vendas maquinas similar app site analise credito saldo diariamente semanalmente mensalmente fim semana feriado planejamento automatico fluxo caixa",2024-01
"Cliente deseja ativar a antecipação programada das vendas de outras adquirentes/máquinas. Após o cliente realizar a antecipação esporádica ou avulsa, surge na tela a opção de ativar a antecipação programada. Ao optar por esse modelo, todas as vendas do cliente serão antecipadas uma vez ao dia. Para ativar, selecione os adquirentes desejados e clique em Ativar agendamento.",credito,antecipacao_vendas,como_solicitar,basico,pessoa_juridica,"ativar antecipacao programada vendas outras adquirentes maquinas esporadica avulsa tela opcao modelo dia selecionar ativar agendamento",2024-01
"Cliente deseja obter informações sobre o que é e quais clientes são elegíveis a antecipação de vendas de outras adquirentes/máquinas. A antecipação de vendas de outras máquinas permite que o vendedor antecipe suas vendas de outras adquirentes/maquininhas com o PagBank, além das vendas já realizadas no próprio PagBank. Critérios de elegibilidade: disponível apenas para clientes PJ ativos na adquirência PagBank; se o cliente comprometer seus recebimentos, não será possível antecipar as vendas; somente as vendas nas bandeiras Mastercard (MCC), Visa (VCC) e Elo (ECC) estão disponíveis para a antecipação; no momento é possível realizar a antecipação das adquirentes: Cielo, Rede, SafraPay, Stone e Getnet. Mercado Pago está em análise. Caso um cliente manifeste interesse em antecipar vendas de outras adquirentes/máquinas com o PagBank, oriente-o a fazer pelo aplicativo ou site. Se o cliente perguntar sobre o recurso para PF (Pessoa Física), informe que ainda não está disponível, mas que o PagBank está avaliando a possibilidade.",credito,antecipacao_vendas,requisitos,intermediario,pessoa_juridica,"antecipacao vendas outras adquirentes maquinas vendedor pagbank criterios elegibilidade pj ativos comprometer recebimentos mastercard visa elo cielo rede safrapay stone getnet mercado pago analise aplicativo site pessoa fisica",2024-01
"Cliente deseja saber como funciona a antecipação de vendas de outras adquirentes/máquinas. Apenas vendas no crédito podem ser antecipadas e ficam disponíveis para antecipação somente no próximo dia útil; quando uma venda é antecipada, o plano de recebimento do cliente pode ser alterado na outra adquirente e o seu valor pode ficar comprometido; a habilitação de antecipação não pode ser feita manualmente; o valor leva até 2 horas para ficar disponível na conta PagBank; não é possível cancelar uma antecipação; é permitido realizar apenas uma antecipação por dia; não há limite de valor mínimo ou máximo para antecipar. O saldo disponível que o cliente possui para antecipar é conforme o valor aprovado na sua análise de crédito; para que o cliente receba o valor antecipado no mesmo dia, a solicitação deve ser feita antes das 11h30. Após este horário, o cliente receberá no próximo dia útil; o horário para contratação da antecipação é das 8h30 às 16h em dias úteis; nesse modelo de antecipação, o cliente pode antecipar toda a sua agenda de outras maquininhas/adquirentes diariamente, mediante análise de risco.",credito,antecipacao_vendas,como_solicitar,avancado,pessoa_juridica,"antecipacao vendas outras adquirentes maquinas credito proximo dia util plano recebimento alterado comprometido habilitacao manual valor horas conta cancelar limite minimo maximo analise credito horario contratacao dias uteis agenda risco",2024-01
"Cliente deseja obter informações sobre comprometimento dos valores a receber após antecipação de vendas de outra adquirente/máquina. Devido às regras de negócio de outras instituições, ao antecipar vendas com outra adquirente, o saldo restante do cliente pode ser bloqueado ou comprometido nessa outra instituição. Isso ocorre porque, quando o PagBank antecipa os valores, ele informa a outra adquirente para ajustar o cronograma de pagamento. A outra adquirente, então, marca aquele valor como comprometido (pois já foi adiantado via PagBank). No processo de antecipação de outras adquirentes, a razão social responsável que aparece é um fundo de investimento: FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - PAGBANK MULTIADQUIRENCIA - RESPONSABILIDADE LIMITADA (FIDC), vinculado à empresa OLIVEIRATRUST (parceira do PagBank). Caso o cliente questione sobre esse comprometimento de valores, informe que esse procedimento é comum entre instituições financeiras: o cliente antecipou as vendas com outra adquirente via PagBank, então o PagBank solicita o comprometimento (reserva) do valor antecipado junto à outra adquirente. O cliente não perde dinheiro — é apenas uma garantia de que o valor não seja pago duas vezes.",credito,antecipacao_vendas,problemas_comuns,avancado,pessoa_juridica,"comprometimento valores receber antecipacao vendas outra adquirente regras negocio instituicoes saldo bloqueado cronograma pagamento fidc fundo investimento direitos creditorios multiadquirencia oliveiratrust procedimento comum reserva garantia pago duas vezes",2024-01
